"Decision by","Case number/name",Jurisdiction,"Date of decision","Relevant GDPR articles","Relevant EU laws","Relevant national/other laws","Type of decision & outcome",Fine,Parties,Contributor,Summary
"Court: CE",448006,France,30.09.2021,,,"Loi n° 78-17 du 6 janvier 1978 relative à l'informatique, aux fichiers et aux libertés",,,"CNP Assurances",'-,"The French Council of State (CE) decided not to rule on the proportionality of the measures taken by the CNIL against a controller as the procedure had not yet come to an end. The CE cannot prejudge the final decision that the CNIL will take in terms of administrative sanctions."
"Court: CE",450163,France,12.03.2021,"28, 44, 45(3), 46(1), 46(1), 46(2)(c)","Article 52 CFR","Article L1111-8 Code de la santé publique",,,"Marie CITRINI in her capacity as user representative on the AP-HP Supervisory Board
Actions Traitements
Actup santé sud ouest
Association Constances
Fédération SUD Santé Sociaux
Fédération des Médecins de France
InterHop
Les ActupienNEs
Didier SICARD
Syndicat National des Jeunes Médecins Généralistes
Syndicat de la Médecine Générale
Union française pour une médecine libre
Ligue des droits de l'Homme",'-,"The applicants asked the French Conseil d'État for an interim measure to stop the processing of COVID-19 vaccination appointment management data through the online platform Doctolib, using Amazon Web Services. The Conseil d'État rejected the application."
"Court: CE","N° 391000N° 393769N° 395335  N° 397755  N° 399999  N° 401258  N° 403868  N° 405464  N° 405910  N° 407776  N° 409212  N° 423326  N° 429154",France,06.12.2019,17,,,,,,'-,"The French Council of State (Conseil d' Etat) issued 13 decisions on the right to be forgotten, in the light of the CJEU's judgment in C-136/17 CNIL against Google LLC."
"Court: CE","N° 399922",France,27.03.2020,17,,,,,"Google Inc.
CNIL",'-,"The French Council of State annulled the fine of EUR 100,00 that CNIL imposed on Google Inc. The Court issued that the scope of the de-referencing obligation ('right to be forgotten') concerns only the EU. The Court hold that the deletion measures taken by Google Inc. regardless of the extensions concerned, and the user's geographical origin meet the requirements set by the Court of Justice in the case C-507/17."
"Court: CE",428451,France,25.11.2020,"6, 9(3), 25, 28",,"Article L. 6113-7 Code de la santé publique
Article R. 6113-7 Code de la santé publique
Loi informatique et libertés (version au 26/12/2018)
Décret n°2018-1254 du 26 décembre 2018 relatif aux départements d'information médicale",,,"Conseil national de l'ordre des médecins",Fra-data67,"The French Highest Administrative Court (Conseil d’Etat) annulled the decree of 26/12/2018 as it does not have technical and organisational protection measures to ensure that only the data strictly necessary for the analysis of a health establishment's activities are collected."
"Court: CE",429571,France,10.12.2020,"6(1)(a), 6(1)(b), 6(1)(f)",,,,,"Cdiscount
CNIL",Tsek,"The French Supreme Administrative Court (Conseil d’Etat) held that the French DPA (CNIL) lawfully issued a guideline (""recommendation"") on consent to storage of customer's credit card data by e-commerce websites. The Court also found that said websites do not have a legitimate interest to store credit card data under Article 6(1)(f) GDPR."
"Court: CE","N° 431350",France,27.03.2020,2(2)(a),,,,,"CRPA, LDH and MGEN ASS
French Republic",'-,"The French Supreme Administrative Court (Conseil d'Etat ""CE"") ruled that the processing of personal data of people in psychiatric care without their consent for the prevention of terrorist radicalization does not fall within the GDPR scope."
"Court: CE","N° 432656",France,04.11.2020,"4(11), 5, 7(4), 9(2)(a), 9(2)(g)","Regulation 2015/1502
Regulation 910/2014","Code de justice administrative
Constitution du 4 octobre 1958
Law n° 78-17 du 6 janvier 1978 relative à l'informatique, aux fichiers et aux libertés",,,"La Quadrature du Net",Roka,"The French highest administrative court (Conseil d'Etat) dismissed a request to rescind a decree allowing the creation of a biometric authentication system for public service application ""Alicem"". The court acknowledged consent was freely given and that the data collection was necessary and proportionate to the purpose."
"Court: CE",N°433069,France,16.10.2019,4(11),"ePrivacy Directive 2002/58/EC","Articles 8, 20 and 82 of the French Data Protection Act",,,"La Quadrature du Net
Caliopen
CNIL",'-,"Council of State (Conseil d'Etat) confirms the CNIL's discretion to initiate consultation process to define new practical arrangements for expressing consent in targeted advertisement and to provide stakeholders with a period of adaptation to comply with it."
"Court: CE","N° 433311",France,04.11.2020,"5(1)(e), 83",,"Loi Informatique & Libertés
Code de justice administrative",,,"SERGIC SAS",Roka,"The French highest administrative court (Conseil d'État) confirmed a €400000 fine pronounced by the DPA against a real estate company for faulty website security (article 32 GDPR) and violation of the storage limitation principle (article 5(1)(e) GDPR)."
"Court: CE","N° 434376",France,06.11.2019,35,,,,,"Le service intégré de l'accueil et de l'orientation (SIAO)
Office français de l'immigration et de l'intégration (OFII)",'-,"The French Council of State (Conseil d' Etat) clarified the application of Article 35 GDPR (data protection impact assessments)."
"Court: CE","N° 441065",France,26.06.2020,"4(1), 4(2), 7, 8, 9(1), 9(2)(a), 9(2)(g), 9(2)(h), 35",,"L 521-2 Code of Administrative Justice",,,"Ligue des droits de l'Homme
Commune de Lisses",'-,"The body temperature captured by cameras without any legal bases is manifestly unlawful and can trigger the urgency interim procedure under Art. L 521-2 of the French code of Administrative Justice. The interim relief judge is entitled to enjoin the administrative authority which allowed the processing to remove the cameras and to suspend the effect of the administrative decision authorising the processing of these sensitive data."
"Court: CFI",2020/813/A,Belgium,05.06.2020,6(1),,,,,,'-,"The French-speaking Tribunal of First Instance in Brussels issued an interim order declaring admissible but unfounded the action brought by Mrs. KAHN. Indeed, following a misidenfication consisting of wrongly connecting her to the EGAR company, Mrs. KAHN asked for the deletion of all her personal data (name, surname, date of birth, address) mentioned in GRAYDON’s file, including those related to other companies."
"CJEU (Court of Justice of the European Union)","C-102/20 StWL Städtische Werke Lauf a.d. Pegnitz GmbH","European Union",,,"Article 2(h) Directive 2002/58/EC
Article 13(1) Directive 2002/58/EC",,,,"StWL Städtische Werke Lauf a.d. Pegnitz GmbH
eprimo GmbH",'-,"The Court of Justice of the European Union held that inbox advertising - the display of advertisements disguised as emails in an email inbox - requires the user's prior consent in order to be lawful."
"CJEU (Court of Justice of the European Union)","C-118/22 Direktor na Glavna direktsia „Natsionalna politsia“ pri MVR - Sofia","European Union",,"5, 13(2)(b), 13(3)",,,,,,'-,"See Holding for questions referred."
"CJEU (Court of Justice of the European Union)","C-129/21 Proximus","European Union",27.10.2022,"5(2), 6, 7, 17, 17(2), 24, 95","Article 12(2) Directive 2002/58/EC
Article 2(f) Directive 2002/58/EC",,,,"Proximus NV
Gegevensbeschermingsautoriteit",'-,'-
"CJEU (Court of Justice of the European Union)","C-136/17 Google LLC vs CNIL","European Union",24.09.2019,"9(1), 9(2), 10, 17(1), 21, 85","Article 8(1) Directive 95/46
Article 8(5) Directive 95/46",,,,"CNIL
Google LLC","Matthias Smet","Information relating to legal proceedings brought against an individual and information relating to an ensuing conviction are data relating to ‘offences’ and ‘criminal convictions’ within the meaning of Article 8(5) of Directive 95/46 (and Article 10 GDPR). In addition the court judged that a search engine operator does not need to automatically delete links to specific sites following an erasure request made by the data subject. Instead, in order to determine whether to remove links to pages that contain sensitive personal data, the search engine operator would have to perform a balancing test of the competing rights in presence."
"CJEU (Court of Justice of the European Union)","C-140/20  Commissioner of the Garda Síochána and Others","European Union",05.04.2022,,"Article 15 Directive 2002/58/EC",,,,"Commissioner of the Garda Síochána
G.D.
Minister for Communications, Energy and Natural Resources
Attorney General",FA,"The Court of Justice of the European Union (CJEU) confirmed its settled case-law that traffic and location data relating to electronic communications may not generally and indiscriminately be retained for the purposes of combating serious crime."
"CJEU (Court of Justice of the European Union)","C-150/20 Deutsche Lufthansa AG","European Union",,,"Article 7 CFREU
Article 8 CFREU
Directive (EU) 2016/681",,,,"BD
Deutsche Lufthansa AG",'-,"See Holding for questions referred."
"CJEU (Court of Justice of the European Union)","C-175/20 Valsts ieņēmumu dienests","European Union",,"5(1)(c), 5(1)(b)",,,,,"SIA SS
Valsts ieņēmumu dienests",'-,"The CJEU ruled that, to request customers' personal data from companies, the tax authority must have legal authorization and must specify the purposes for the request, in addition to observing data minimization principle."
"CJEU (Court of Justice of the European Union)","C-180/21 Inspektor v Inspektorata kam Visshia sadeben savet","European Union",,6(1)(f),"Article 1 Directive 2016/680",,,,"VS
Inspektor v Inspektorata kam Visshia sadeben savet",'-,'-
"CJEU (Court of Justice of the European Union)","C-210/16 Facebook Fan pages","European Union",05.06.2018,,"Article 1 Directive 95/46
Article 17 Directive 95/46
Article 2 Directive 95/46
Article 24 Directive 95/46
Article 28 Directive 95/46
Article 4 Directive 95/46
Recital 10 Directive 95/46
Recital 18 Directive 95/46
Recital 19 Directive 95/46
Recital 26 Directive 95/46","Paragraph 11 German Federal Law on Data Protection (BDSG)
Paragraph 3(7) German Federal Law on Data Protection (BDSG)
Paragraph 38(5) German Federal Law on Data Protection (BDSG)
Paragraph 12 German Law on Electronic Media 2007 (BGBI)",,,"Unabhängiges Landeszentrum für Datenschutz Schleswig-Holstein
Wirtschaftsakademie Schleswig-Holstein GmbH","Elaine Thuo","The case concerns a fan page created by a company (Wirtschaftsakademie) and hosted by Facebook. The court was tasked to clarify whether the administrator of the fan page was a controller within the definition of a controller under Article 2(d) of Directive 95/46."
"CJEU (Court of Justice of the European Union)","C-215/20 JV v Bundesrepublik Deutschland","European Union",,"9, 13","Article 24 CFREU
Article 47 CFREU
Article 52 CFREU
Article 7 CFREU
Article 8 CFREU",,,,"JV
Bundesrepublik Deutschland",'-,"See Holding for questions referred."
"CJEU (Court of Justice of the European Union)","C-222/20 OC v Bundesrepublik Deutschland","European Union",,,"Article 21 TFEU
Article 67(2) TFEU
Article 7 CFREU
Article 8 CFREU
Directive (EU) 2016/681",,,,"OC
Bundesrepublik Deutschland",'-,"See Holding for questions referred."
"CJEU (Court of Justice of the European Union)","C-245/20 Autoriteit Persoonsgegevens","European Union",24.03.2022,55(3),,,,,"Autoriteit Persoonsgegevens
X
Y",Gauravpathak,"The Court of Justice of the European Union held that a court’s disclosure of certain case documents to journalists falls within the definition of ‘judicial capacity’ in Article 55(3) GDPR."
"CJEU (Court of Justice of the European Union)","C-252/21 Facebook and Others","European Union",,"4(11), 6(1)(b), 6(1)(f), 6(1)(c), 6(1)(d), 6(1)(e), 9(1), 9(2)(e), 9(2)(a), 51, 56(1)",,,,,,'-,"See Holding for questions referred."
"CJEU (Court of Justice of the European Union)","C-268/21 Norra Stockholm Bygg","European Union",,"6(3), 6(4)",,,,,,"Bernardo Armentano","The CJEU ruled that personal data collected on the basis of Article 6(1)(e) may be used in legal proceedings, but the judge has to consider the principle of proportionality and data minimization when determining the production of evidence."
